donor_country,recipient_country,2008,2009,2010,2011,2012
BEL,VNM,..,..,0.283934,..,..
BEL,AFG,..,..,..,..,..
BEL,ARM,..,..,..,..,..
BEL,AZE,..,..,..,..,..
BEL,BGD,..,..,..,..,..
BEL,BTN,..,..,..,..,..
BEL,GEO,..,..,..,..,..
BEL,IND,..,..,..,..,..
BEL,KAZ,..,..,..,..,..
BEL,KGZ,..,..,..,..,..
BEL,MDV,..,..,..,..,..
BEL,MMR,..,..,..,..,..
BEL,NPL,..,..,..,..,..
BEL,PAK,..,..,..,..,..
BEL,LKA,..,..,..,..,..
BEL,TJK,..,..,..,..,..
BEL,TKM,..,..,..,..,..
BEL,UZB,..,..,..,..,..
BEL,BHR,..,..,..,..,..
BEL,IRN,..,..,..,..,..
BEL,IRQ,..,..,..,..,..
BEL,ISR,..,..,..,..,..
BEL,JOR,..,..,..,..,..
BEL,KWT,..,..,..,..,..
BEL,LBN,..,..,..,..,..
BEL,OMN,..,..,..,..,..
BEL,QAT,..,..,..,..,..
BEL,SAU,..,..,..,..,..
BEL,SYR,..,..,..,..,..
BEL,ARE,..,..,..,..,..
BEL,PSZ,..,5.821184,0.119205,..,0.013602
BEL,YEM,..,..,..,..,..
BEL,COK,..,..,..,..,..
BEL,FJI,..,..,..,..,..
BEL,PYF,..,..,..,..,..
BEL,KIR,..,..,..,..,..
BEL,MHL,..,..,..,..,..
BEL,FSM,..,..,..,..,..
BEL,NRU,..,..,..,..,..
BEL,NCL,..,..,..,..,..
BEL,NIU,..,..,..,..,..
BEL,PLW,..,..,..,..,..
BEL,PNG,..,..,..,..,..
BEL,WSM,..,..,..,..,..
BEL,SLB,..,..,..,..,..
BEL,TKL,..,..,..,..,..
BEL,TON,..,..,..,..,..
BEL,TUV,..,..,..,..,..
BEL,VUT,..,..,..,..,..
CAN,ALB,..,..,..,..,..
CAN,BLR,..,..,..,..,..
CAN,BIH,..,..,..,..,..
CAN,HRV,..,..,..,..,..
CAN,CYP,..,..,..,..,..
CAN,MKD,..,..,..,..,..
CAN,MLT,..,..,..,..,..
CAN,MDA,..,..,..,..,..
CAN,MNE,..,..,..,..,..
CAN,SRB,..,..,..,..,..
